ValueCardListQuery,储值卡列表
ValueCardDetailQuery,储值卡详情查询
ValueCardRecordQuery,储值卡交易明细查询
ValueCardRechargeRuleQuery,储值卡充值规则查询
ValueCardPay,储值卡支付
ValueCardPayQuery,储值卡支付结果查询
ValueCardRefund,储值卡退款
ValueCardRefundQuery,储值卡退款结果查询
ValueCardRecharge,储值卡充值
ValueCardRechargeQuery,储值卡充值结果查询
ValueCardRechargeBonus,储值卡充值发放赠送金
ValueCardExchange,储值兑换
ValueCardGive,储值卡赠送
ValueCardCancelGive,储值卡取消赠送
ValueCardTake,储值卡领取
ValueCardActivate,储值卡激活
ValueCardFlowDetailReverse,外部储值流水回写至有赞
ValueCardUserFlowFailed,用户储值流水失败处理
ValueCardFixFlowDetail,修复用户B端储值流水
ValueCardQueryReverse,储值卡查询逆向
ValueCardPayReverse,储值卡支付逆向
ValueCardPayQueryReverse,储值卡支付结果查询逆向
ValueCardRefundReverse,储值卡退款逆向
ValueCardRefundQueryReverse,储值卡退款结果查询逆向
ValueCardDetailBuyCenter,储值卡购卡中心

