VoucherQuery,券列表查询
VoucherDetailQuery,券详情查询
VoucherVerify,券核销
VoucherRefund,券退还
VoucherRecycle,券回收
VoucherDisuse,券禁用
VoucherSend,券发放
VoucherBatchSend,批量券发放
VoucherActivityCreateReverseRest,优惠券逆向创建券模板活动REST
VoucherTemplateDetailQuery,外部券模版查询
ActivityTemplateSyncReverse,外部券模版同步到有赞
VoucherVerifyReverse,外部券核销至有赞
VoucherRefundReverse,外部券退券至有赞
VoucherRecycleReverse,外部券回收至有赞
VoucherDisuseReverse,外部券禁用至有赞
VoucherSendReverse,优惠券发放逆向
VoucherOperateReverse,外部券操作同步至有赞
ActivityUpdate,有赞券模版修改
ActivityTemplateCreate,有赞券模版同步到三方
AvailableVoucherQuery,可用券查询
VoucherFrozenReverseRest,优惠券逆向冻结REST接口
VoucherPreVerifyReverseRest,优惠券逆向预核销REST接口
VoucherQueryDiscountReverseRest,优惠券逆向查询优惠折扣信息REST接口
VoucherQueryListReverseRest,优惠券逆向查询券列表REST接口
VoucherUnFrozenReverseRest,优惠券逆向解冻优惠券REST接口
VoucherActivityDeleteReverseRest,优惠券模板逆向删除REST接口
VoucherRefundReverseRest,优惠券逆向退还REST接口
VoucherVerifyReverseRest,优惠券逆向核销REST接口
VoucherRecycleReverseRest,优惠券逆向回收REST接口
VoucherOnlySendReverseRest,优惠券发放逆向接口调用(仅有赞发券)
VoucherReverseVerifyRefund,有赞券逆向退券REST
VoucherHandSel,优惠券正向转赠

